Table 1
University,Specialty
Казахский Национальный педагогический университет имени Абая,6B01303 Начальное образование с информационно-коммуникационными технологиями
Кызылординский университет имени Коркыт Ата,6B01303 Педагогика и методика начального обучения
Кокшетауский университет имени Абая Мырзахметова,6B01303 Педагогика и методика начального обучения
Международный казахско-турецкий университет им.Х.А.Ясави,6B01303 Педагогика и методика начального обучения
Кызылординский университет «Болашак»,6B01303 Педагогика и методика начального обучения
Евразийский гуманитарный институт имени А.К. Кусаинова,6B01303 Педагогика и методика начального обучения
Казахский Национальный педагогический университет имени Абая,6B01304 Начальное образование с полиязычием
Костанайский социально-технический университет имени академика Зулкарнай Алдамжар,6B01304 Педагогика и методика начального обучения
Казахский Национальный педагогический университет имени Абая,6B01306 Начальное образование на английском языке
Павлодарский педагогический университет имени Әлкея Марғұлана,6B01310 Педагогика и методика начального обучения
Южно-Казахстанский университет им. М.Ауэзова,6B01310 Педагогика и методика начального обучения
Университет Дружбы народов имени академика А.Куатбекова,6B01310 Педагогика и методика начального обучения
Баишев Университет,6B01311 Педагогика и методика начального обучения
Казахско-русский международный университет,6B01311 Педагогика и методика начального обучения
Жезказганский университет им. О.А.Байконурова,6B01401 Изобразительное искусство и черчение
Казахский национальный женский педагогический университет,
Казахский национальный университет искусств,6B01401 Музыкальное образование
Аркалыкский педагогический институт имени И.Алтынсарина,
Международный университет Астана,6B01401 Музыкальное образование
Актюбинский региональный университет имени К.Жубанова,6B01401 Музыкальное образование
Казахский национальный женский педагогический университет,
Казахский Национальный педагогический университет имени Абая,6B01401 Начальная военная подготовка
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B01401 Начальная военная подготовка и физическая культура
Карагандинский университет Казпотребсоюза,нк
Центрально-Азиатский Инновационный Университет,6B01401 Подготовка учителей начальной военной подготовки
Университет имени Жумабека Ахметулы Ташенева,
Алматинский гуманитарно-экономический университет,
Академия физической культуры и массового спорта,"6B01401 Подготовка учителя физической культуры и тренера по национальным видам спорта,   спортивным играм"
Кызылординский университет «Болашак»,6B01401 Профессиональное обучение
Атырауский университет имени Х.Досмухамедова,6B01401 Учитель физической культуры и тренер по избранному виду спорта
Северо-Казахстанский университет им.М.Козыбаева,6B01401 Физическая культура и спорт
Казахский национальный университет им.аль-Фараби,6B01401 Физическая культура и спорт
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B01401 Физическая культура и спорт
Казахстанско-Американский свободный университет,6B01401 Физическая культура и спорт
Международный университет туризма и гостеприимства,6B01401 Физическая культура и спорт
Шымкентский университет,6B01401 Физическая культура и спорт
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B01401 Физическая культура и спорт
Западно-Казахстанский инновационно-технологический университет,6B01401 Физическая культура и спорт
Университет имени Шакарима города Семей,6B01401 Физическая культура и спорт
Казахская академия спорта и туризма,6B01401 Физическая культура и спорт
Восточно-Казахстанский университет имени Сарсена Аманжолова,6B01401 Физическая культура и спорт
Казахский национальный женский педагогический университет,"6B01402 Визуальное искусство, художественный труд, графика и проектирование"
Аркалыкский педагогический институт имени И.Алтынсарина,
Алматинский гуманитарно-экономический университет,6B01402 Изобразительное искусство и черчение
Казахский национальный университет искусств,6B01402 Музыкальное исполнительство и педагогика
Северо-Казахстанский университет им.М.Козыбаева,6B01402 Музыкальное образование
Шымкентский университет,6B01402 Музыкальное образование
Казахский Национальный педагогический университет имени Абая,6B01402 Музыкальное образование
Университет имени Шакарима города Семей,6B01402 Музыкальное образование
Костанайский региональный университет имени Ахмет Байтұрсынұлы,6B01402 Музыкальное образование
Казахский Национальный педагогический университет имени Абая,
Карагандинский университет имени академика Е.А.Букетова,6B01402 Начальная военная и физическая подготовка
Западно-Казахстанский инновационно-технологический университет,6B01402 Основы права и экономики
Кызылординский университет «Болашак»,6B01402 Основы права и экономики
Университет имени Жумабека Ахметулы Ташенева,
Таразский  региональный университет имени М.Х.Дулати,
Академия физической культуры и массового спорта,6B01402 Подготовка учителя физической культуры и инструктора-методиста по массовой физкультурно-оздоровительной работе
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B01402 Профессиональное обучение (по профилю)
Восточно-Казахстанский университет имени Сарсена Аманжолова,"6B01402 Профессиональное обучение, художественный труд и графика"
Атырауский университет имени Х.Досмухамедова,"6B01402 Учитель начальной военной, технологической и физической подготовки"
Международный университет Астана,6B01402 Учитель художественного труда и изобразительного искусства
Международный университет туризма и гостеприимства,6B01402 Физическая культура и начальная военная подготовка
Каспийский университет технологий и инжиниринга имени Ш. Есенова,6B01402 Физическая культура и начальная военно-технологическая подготовка
Международный Таразский инновационный институт имени Шерхана Муртазы,6B01402 Физическая культура и спорт
Западно-Казахстанский университет имени Махамбета Утемисова,6B01402 Физическая культура и спорт
Жезказганский университет им. О.А.Байконурова,6B01402 Физическая культура и спорт
Карагандинский университет Казпотребсоюза,6B01402 Физическая культура и спортивный менеджмент
Казахская академия спорта и туризма,6B01403 Адаптивная физическая культура и спорт
Шымкентский университет,6B01403 Изобразительное искусство и черчение
Западно-Казахстанский инновационно-технологический университет,6B01403 Музыкальное образование
Alikhan Bokeikhan University,6B01403 Начальная военная подготовка
Кызылординский университет «Болашак»,6B01403 Начальная военная подготовка
Академия физической культуры и массового спорта,6B01403 Педагог - тренер по настольным видам спорта (шахматы)
Университет имени Жумабека Ахметулы Ташенева,6B01403 Подготовка учителей художественного труда и черчения
Таразский  региональный университет имени М.Х.Дулати,6B01403 Подготовка учителей художественного труда и черчения
Южно-Казахстанский педагогический университет имени Өзбекәлі Жәнібеков,6B01403 Подготовка учителя музыки
Жезказганский университет им. О.А.Байконурова,6B01403 Профессиональное обучение
Центрально-Азиатский Инновационный Университет,6B01403 Профессиональное обучение
Алматинский гуманитарно-экономический университет,6B01403 Профессиональное обучение
Атырауский университет имени Х.Досмухамедова,"6B01403 Учитель музыки, педагог дополнительного образования"
Университет «Мирас»,"6B01403 Учитель художественного образования, графики и проектирования"
Казахский национальный женский педагогический университет,
Аркалыкский педагогический институт имени И.Алтынсарина,6B01403 Физическая культура и спорт
Карагандинский университет имени академика Е.А.Букетова,6B01403 Физическая культура и спорт
Кокшетауский университет имени Ш. Уалиханова,6B01403 Физическая культура и спорт
Западно-Казахстанский аграрно-технический университет им. Жангир хана,"6B01404 Визуальное искусство, художественный труд и графика"
Атырауский университет имени Х.Досмухамедова,6B01404 Изобразительное искусство и художественный труд
Западно-Казахстанский университет имени Махамбета Утемисова,6B01404 Музыкальное образование
Международный казахско-турецкий университет им.Х.А.Ясави,6B01404 Начальная военная подготовка
Кызылординский университет имени Коркыт Ата,6B01404 Начальная военная подготовка
Кокшетауский университет имени Абая Мырзахметова,6B01404 Начальная военная подготовка
Аркалыкский педагогический институт имени И.Алтынсарина,6B01404 Основы права и экономики
Академия физической культуры и массового спорта,6B01404 Педагог - тренер по Qazaq kuresi
Шымкентский университет,6B01404 Профессиональная обучение
Казахский национальный женский педагогический университет,6B01404 Профессиональное обучение
Международный Таразский инновационный институт имени Шерхана Муртазы,6B01404 Профессиональное обучение
Северо-Казахстанский университет им.М.Козыбаева,6B01404 Физическая культура и начальная военная подготовка
Университет «Мирас»,6B01404 Физическая культура и начальная военная подготовка
Казахский Национальный педагогический университет имени Абая,6B01404 Физическая культура и спорт
Центрально-Азиатский Инновационный Университет,6B01404 Физическая культура и спорт
Актюбинский региональный университет имени К.Жубанова,6B01404 Физическая культура и спорт
Alikhan Bokeikhan University,6B01404 Физическая культура и спорт
Кызылординский университет «Болашак»,6B01404 Физическая культура и спорт
Казахский Национальный педагогический университет имени Абая,6B01404 Физическая культура и спорт (IP)
Казахская академия спорта и туризма,6B01404 Фитнес и рекреация
Кокшетауский университет имени Ш. Уалиханова,6B01404 Художественный труд и проектная графика
Актюбинский региональный университет имени К.Жубанова,"6B01405 Визуальное искусство, художественный труд, графика и проектирование"
Университет имени Шакарима города Семей,"6B01405 Изобразительное искусство, художественный труд и графика"
Центрально-Азиатский Инновационный Университет,6B01405 Музыкальное образование
Кызылординский университет «Болашак»,6B01405 Музыкальное образование
Казахский национальный женский педагогический университет,6B01405 Основы права и экономики
Казахский национальный женский педагогический университет,6B01405 Основы права и экономики - История
Таразский  региональный университет имени М.Х.Дулати,6B01405 Подготовка учителей начальной военной подготовки
Академия физической культуры и массового спорта,6B01405 Учитель физической культуры и тренер по видам спорта
Академия физической культуры и массового спорта,6B01405 Учитель физической культуры и тренер по видам спорта
Западно-Казахстанский аграрно-технический университет им. Жангир хана,6B01405 Физическая культура и спорт
Международный казахско-турецкий университет им.Х.А.Ясави,6B01405 Физическая культура и спорт
Кокшетауский университет имени Абая Мырзахметова,6B01405 Физическая культура и спорт
Кызылординский университет имени Коркыт Ата,6B01405 Физическая культура и спорт
Костанайский социально-технический университет имени академика Зулкарнай Алдамжар,6B01405 Физическая культура и спорт
Атырауский университет имени Х.Досмухамедова,6B01405 Художественное образование (IP)
Шымкентский университет,6B01405 Художественный труд и проектирование
Кокшетауский университет имени Ш. Уалиханова,6B01405 Художественный труд и проектная графика
Международный Таразский инновационный институт имени Шерхана Муртазы,6B01405 Художественный труд и черчение
Аркалыкский педагогический институт имени И.Алтынсарина,"6B01405 Художественный труд, графика и проектирование"
Карагандинский университет имени академика Е.А.Букетова,"6B01406 Визуальное искусство, художественный труд, графика и проектирование"
Костанайский региональный университет имени Ахмет Байтұрсынұлы,"6B01406 Визуальное искусство, художественный труд, графика и проектирование"
Казахская национальная консерватория имени Курмангазы,6B01406 Музыкальное образование
Международный казахско-турецкий университет им.Х.А.Ясави,6B01406 Музыкальное образование
Атырауский университет имени Х.Досмухамедова,6B01406 Музыкальное образование (IP)
Кокшетауский университет имени Абая Мырзахметова,6B01406 Профессиональное обучение
Казахский национальный женский педагогический университет,6B01406 Профессиональное обучение и предпринимательство
Восточно-Казахстанский университет имени Сарсена Аманжолова,6B01406 Физическая культура и начальная военная подготовка
Университет имени Шакарима города Семей,6B01406 Физическая культура и спорт / Менеджер по спорту и рекреации
Западно-Казахстанский университет имени Махамбета Утемисова,6B01406 Художественный труд и дизайн в школе
Кызылординский университет имени Коркыт Ата,6B01407 Музыкальное образование
Казахский национальный женский педагогический университет,"6B01407 Основы права, экономика и предпринимательство"
Таразский  региональный университет имени М.Х.Дулати,6B01407 Подготовка учителей начальной военной  подготовки и физической культуры
Южно-Казахстанский педагогический университет имени Өзбекәлі Жәнібеков,"6B01407 Подготовка учителя изобразительного искусства, графики и дизайна"
Карагандинский университет имени академика Е.А.Букетова,6B01407 Профессиональное обучение
Евразийский национальный университет им. Л.Н.Гумилева,6B01407 Тренер по футболу
Кызылординский открытый университет,6B01407 Физическая культура и спорт
Атырауский университет имени Х.Досмухамедова,6B01407 Физическая культура и спорт (IP)
Кызылординский открытый университет,"6B01408 Изобразительное искусство и черчение (Визуальное искусство, художественный труд, графика и проектирование"
Карагандинский университет имени академика Е.А.Букетова,"6B01408 История, основы права и предпринимательство"
Жетысуский университет имени Ильяса Жансугурова,6B01408 Начальная военная  подготовка и физическая культура
